4,0.5
8.2275,0.44024
12.653,0.40748
15.88,0.39293
17.836,0.38709
18.939,0.38515
19.557,0.38493
19.917,0.38547
20.14,0.38633
20.291,0.38732
20.401,0.38833
20.487,0.38933
20.558,0.39029
20.618,0.39121
20.671,0.39207
20.717,0.3929
20.758,0.39367
20.795,0.39441
20.829,0.39511
20.859,0.39577
20.886,0.3964
20.911,0.39699
20.933,0.39756
20.953,0.39811
20.971,0.39863
20.987,0.39912
21.002,0.3996
21.016,0.40006
21.028,0.4005
21.039,0.40093
21.049,0.40134
21.058,0.40174
21.066,0.40212
21.073,0.4025
21.08,0.40286
21.086,0.40321
21.091,0.40355
21.096,0.40389
21.1,0.40421
21.104,0.40453
21.108,0.40484
21.111,0.40515
21.114,0.40545
21.116,0.40574
21.119,0.40602
21.121,0.4063
21.123,0.40658
21.124,0.40685
21.126,0.40712
21.127,0.40738
21.128,0.40764
