0.1335,0.2109,0.2543,0.5284,0.5718,0.3262,0.5612,0.5475,0.533,0.5199,0.5186,0.5254,0.5305,0.5448,0.5578,0.5759,0.5942,0.6143,0.6337,0.6509,0.668,0.6831,0.7005,0.7176,0.7326,0.7467,0.7601,0.7726,0.784,0.7946,0.8042,0.8126,0.8259,0.8372,0.8467,0.8555,0.8629,0.8687,0.877,0.8838,0.8901,0.8951,0.901,0.9063,0.912,0.9174,0.9217,0.9266,0.9297,0.9335,0.9369,0.9408,0.9446,0.9485,0.9527,0.9547,0.9567,0.9598,0.9624,0.9642,0.9663,0.9679,0.9701,0.9724,0.9741,0.9757,0.9765,0.978,0.9794,0.9804,0.9816,0.983,0.9845,0.9853,0.9864,0.987,0.9877,0.9882,0.9896,0.9902,0.9906,0.9907,0.9911,0.9916,0.9918,0.9925,0.9931,0.993,0.9936,0.9947,0.9949,0.9951,0.9954,0.9956,0.996,0.9967,0.9972,0.997,0.997,0.9975,
0.8562,0.7845,0.7431,0.8329,0.875,0.6735,0.873,0.8421,0.8094,0.7698,0.7269,0.6809,0.6443,0.602,0.5652,0.5261,0.4896,0.4594,0.4313,0.4047,0.3806,0.3606,0.3392,0.3187,0.3,0.284,0.2692,0.256,0.2424,0.2303,0.2173,0.2082,0.1934,0.1814,0.1719,0.1616,0.1532,0.1469,0.1396,0.1313,0.1225,0.1185,0.111,0.1062,0.1007,0.097,0.0917,0.0855,0.0826,0.079,0.0752,0.0706,0.0673,0.064,0.0594,0.0579,0.0539,0.051,0.0484,0.0475,0.0449,0.0437,0.0423,0.0396,0.0377,0.0355,0.0333,0.0311,0.0297,0.0299,0.0291,0.0279,0.0268,0.0248,0.0232,0.0228,0.0214,0.0215,0.0208,0.0196,0.0189,0.0199,0.0194,0.0181,0.0177,0.0171,0.0151,0.0174,0.0158,0.0135,0.0134,0.0124,0.0125,0.0122,0.0112,0.0111,0.0103,0.01,0.0106,0.0099,
0.0103,0.0046,0.0026,0.0434,0.0852,0.0003,0.1597,0.1851,0.1905,0.2024,0.1943,0.1907,0.1841,0.1689,0.1571,0.1448,0.1352,0.1186,0.1072,0.1068,0.1053,0.0993,0.0923,0.0891,0.0864,0.082,0.0749,0.0694,0.064,0.0656,0.0662,0.0604,0.0609,0.0597,0.059,0.0597,0.0567,0.0582,0.0563,0.0534,0.0528,0.054,0.0532,0.0506,0.0458,0.0428,0.0468,0.0475,0.0465,0.047,0.0449,0.046,0.0468,0.0463,0.045,0.045,0.0419,0.0438,0.0443,0.043,0.0421,0.0394,0.0386,0.0406,0.0395,0.0401,0.0412,0.0397,0.0418,0.0391,0.0385,0.0381,0.0367,0.0394,0.0392,0.0388,0.0405,0.0413,0.0376,0.0377,0.0391,0.0394,0.0397,0.0429,0.0408,0.0401,0.0359,0.0354,0.0371,0.0387,0.0384,0.0412,0.0419,0.0388,0.0394,0.0388,0.0363,0.0362,0.0382,0.039,
0,0,0,0.0116,0.0306,0,0.0946,0.1296,0.159,0.1772,0.193,0.2086,0.2106,0.2256,0.2249,0.2228,0.2234,0.2219,0.2185,0.2095,0.2025,0.1948,0.1982,0.1946,0.188,0.1848,0.1856,0.1781,0.1788,0.1739,0.1721,0.1698,0.1666,0.1632,0.1576,0.1607,0.1605,0.1581,0.158,0.1534,0.1587,0.1486,0.1501,0.1478,0.1488,0.1448,0.1456,0.1472,0.1512,0.1484,0.1515,0.1465,0.1457,0.1395,0.1418,0.1429,0.142,0.1376,0.1346,0.1384,0.1369,0.1348,0.1352,0.13,0.1331,0.1358,0.1337,0.1408,0.14,0.1377,0.1361,0.138,0.1376,0.1337,0.1354,0.1356,0.1396,0.137,0.1321,0.1343,0.1313,0.1318,0.1333,0.1326,0.1307,0.1308,0.1338,0.1334,0.1357,0.1336,0.1305,0.1329,0.1311,0.1309,0.1303,0.1321,0.1318,0.1297,0.1292,0.1278,
0,0,0,0.0025,0.0102,0,0.0444,0.0668,0.0967,0.1263,0.1566,0.1756,0.1974,0.214,0.2353,0.2489,0.2613,0.271,0.2818,0.2856,0.2863,0.297,0.2926,0.2869,0.2927,0.2943,0.293,0.2976,0.3068,0.2948,0.2941,0.2937,0.2983,0.2991,0.3052,0.2988,0.2947,0.2921,0.2988,0.3019,0.296,0.2954,0.2943,0.2944,0.3027,0.3058,0.3029,0.2977,0.2866,0.2961,0.2995,0.2969,0.2926,0.2946,0.2926,0.2929,0.2991,0.3034,0.3012,0.3009,0.2987,0.2961,0.2954,0.2967,0.2983,0.2947,0.2999,0.2945,0.2934,0.2975,0.2982,0.2915,0.2943,0.2982,0.295,0.2938,0.2889,0.293,0.2984,0.2986,0.2916,0.2948,0.2947,0.2975,0.2926,0.2965,0.3002,0.2948,0.2918,0.2924,0.2999,0.2958,0.2959,0.3007,0.2898,0.2927,0.3005,0.3041,0.2959,0.2964,
0,0,0,0.0003,0.0019,0,0.0126,0.0213,0.0342,0.0456,0.063,0.0803,0.0966,0.112,0.1239,0.1457,0.1567,0.1737,0.1853,0.1921,0.2059,0.2102,0.2192,0.2358,0.2416,0.2418,0.2542,0.2555,0.256,0.272,0.2708,0.283,0.2839,0.2858,0.2848,0.2859,0.2917,0.2962,0.2922,0.2952,0.2976,0.3031,0.3084,0.312,0.3047,0.3065,0.3087,0.3067,0.3157,0.3073,0.3053,0.3137,0.3176,0.3167,0.3151,0.3144,0.3154,0.3121,0.3168,0.3191,0.3183,0.3288,0.3228,0.327,0.3274,0.3193,0.325,0.3212,0.3209,0.3215,0.321,0.3238,0.3254,0.3265,0.33,0.329,0.3277,0.3248,0.3274,0.3303,0.3336,0.331,0.3263,0.3237,0.3316,0.3265,0.3345,0.3324,0.3325,0.3302,0.3277,0.3258,0.3274,0.3301,0.336,0.3314,0.3301,0.3256,0.3314,0.3335,
0,0,0,0,0.0001,0,0.001,0.0018,0.0043,0.0063,0.0093,0.0117,0.0158,0.0176,0.0233,0.0249,0.0303,0.0326,0.0343,0.0435,0.0461,0.0494,0.0527,0.0527,0.0539,0.0622,0.0592,0.067,0.0643,0.0654,0.0719,0.0689,0.0678,0.0702,0.0714,0.0744,0.0768,0.0765,0.0751,0.0779,0.0792,0.0821,0.079,0.0797,0.0822,0.0826,0.0796,0.0858,0.0847,0.0856,0.0832,0.0822,0.0822,0.0871,0.0905,0.0892,0.0881,0.0894,0.0893,0.084,0.0897,0.0861,0.0926,0.0907,0.087,0.096,0.0875,0.0918,0.0918,0.0908,0.0923,0.0946,0.0918,0.0891,0.0877,0.09,0.0911,0.091,0.091,0.0861,0.0918,0.0893,0.0925,0.0905,0.0918,0.0935,0.0845,0.0907,0.0906,0.0939,0.092,0.0937,0.0925,0.0884,0.0943,0.0942,0.0909,0.0945,0.0946,0.0928,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
